Gender,Chain,PaymentMethod,Occupation,Age,FamilySize,Income,PurchaseAmount
Male,Major A,Cash,Professional,31,3,39500,497.17
Female,Major A,DebitCard,Skilled,35,4,87900,496.94
Male,Other,Cash,Owners,40,2,62700,496.76
Female,Major E,StoreCard,Retired,32,2,66700,496.71
Female,Major E,StoreCard,Owners,35,3,67000,496.49
Male,Major A,Cash,Retired,30,2,9250,496.26
Female,Regional D,Check,Owners,38,2,54100,495.99
Male,Major A,Check,Other,66,2,33600,495.94
Male,Other,DebitCard,Sales,50,2,74400,495.88
Female,Major E,StoreCard,Other,21,1,51300,495.56
Female,Regional C,Cash,Professional,35,4,74500,495.32
Male,Regional C,DebitCard,Service,69,3,42000,495.32
Female,Major A,Cash,Other,55,2,59100,495.28
Male,Regional D,StoreCard,Service,44,4,58400,495.27
Female,Other,Cash,Other,26,5,28500,495.21
Male,Regional D,Cash,Skilled,24,5,20300,495.2
Male,Regional D,Check,Owners,38,1,92300,495.09
Female,Major D,Check,Retired,42,2,91400,494.94
Female,Regional C,DebitCard,Service,41,7,68200,494.87
Female,Major A,Cash,Retired,78,2,28200,494.49
Male,Regional B,StoreCard,Retired,78,3,49300,494.43
Male,Major B,StoreCard,Other,38,2,69000,494.11
Male,Regional C,Cash,Service,63,2,29700,494
Female,Major D,StoreCard,Other,49,2,39700,493.94
Female,Major A,Cash,Professional,52,5,2500,493.82
Female,Major A,DebitCard,Owners,26,4,20300,493.82
Female,Major A,Cash,Sales,33,3,57400,493.76
Female,Major D,StoreCard,Skilled,71,6,11550,493.68
Female,Major D,StoreCard,Professional,49,3,0,492.06
Male,Regional D,Cash,Other,43,1,51100,491.99
Male,Major E,StoreCard,Owners,69,3,43400,490.95
Female,Major A,Cash,Professional,36,4,21100,489.84
Female,Major E,StoreCard,Retired,28,1,14650,488.79
Female,Other,Check,Professional,65,4,0,487.95
Male,Major B,Cash,Skilled,18,2,60200,486.91
Male,Major B,StoreCard,Service,28,1,8650,486.46
Male,Other,Cash,Owners,36,3,27100,485.27
Female,Major E,StoreCard,Owners,35,2,6700,484.06
Male,Major B,Cash,Farm,47,5,0,483.03
Female,Major A,Cash,Other,36,2,69300,482.83
Female,Major A,Cash,Other,50,1,8050,480.76
Female,Other,Cash,Professional,30,2,27300,477.72
Female,Major B,StoreCard,Professional,39,3,46900,475.6
Male,Major D,StoreCard,Retired,27,2,22400,470.14
Female,Regional B,DebitCard,Military,60,3,4600,469.45
Male,Major A,Cash,Retired,41,3,28600,464.35
Male,Regional A,Check,Professional,34,1,65600,456.34
Male,Major A,DebitCard,Owners,65,4,11850,454.66
Female,Major E,StoreCard,Sales,59,3,23000,453.19
Female,Major E,Check,Retired,32,1,87800,446.57
Male,Other,Cash,Owners,28,1,17750,446.35
Female,Major D,StoreCard,Other,40,1,76900,444.22
Female,Major A,Check,Other,33,2,53600,440.94
Female,Regional D,StoreCard,Sales,31,1,40300,440.2
Male,Other,Cash,Professional,60,3,16150,433.2
Female,Regional D,StoreCard,Other,54,1,51300,423.85
Male,Regional A,StoreCard,Owners,22,2,83000,421.54
Female,Other,Cash,Other,36,8,0,411.48
Female,Major A,DebitCard,Service,73,2,22300,409.5
Female,Major A,Cash,Skilled,50,4,0,408.62
Female,Other,Cash,Other,43,2,59800,408.6
Female,Major A,Cash,Other,21,1,6650,408.56
Female,Regional A,Cash,Retired,69,1,24900,408.48
Male,Minor B,Cash,Laborer,34,4,2400,407.64
Female,Other,Cash,Other,45,3,32300,406.5
Female,Major B,Check,Other,75,2,37300,406.33
Male,Major A,Cash,Retired,29,1,20100,405.85
Female,Major E,Cash,Other,59,2,12800,405.47
Female,Regional B,Cash,Other,75,1,59400,405.41
Female,Regional C,Cash,Retired,37,1,4600,405.11
Female,Major A,Cash,Retired,44,1,3400,404.71
Female,Major A,StoreCard,Service,55,1,69400,404.71
Male,Major B,StoreCard,Other,57,1,82700,404.52
Female,Major D,Cash,Owners,39,2,15950,403.65
Male,Major D,DebitCard,Owners,81,3,14000,403.06
Female,Major A,Cash,Retired,18,2,44700,402.88
Female,Major A,DebitCard,Service,30,1,59200,402.76
Female,Other,Cash,Retired,64,1,33500,401.78
Female,Major A,Cash,Skilled,38,6,38800,401.57
Male,Major E,Check,Owners,30,3,6100,401.33
Male,Major B,StoreCard,Retired,42,2,4800,400.97
Female,Major A,Cash,Professional,59,4,86100,400.88
Male,Other,Cash,Retired,44,2,68600,400.83
Male,Major E,Cash,Skilled,42,1,64200,400.72
Female,Minor B,Cash,Sales,25,4,45500,399.86
Female,Other,Check,Skilled,72,2,48800,399.79
Male,Major B,Check,Service,36,2,39500,399.67
Male,Major B,StoreCard,Other,49,1,0,399.65
Female,Major A,Cash,Other,56,2,4300,398.91
Female,Major D,Check,Other,80,1,8250,398.26
Male,Major A,Cash,Retired,73,2,11650,398.26
Female,Other,Cash,Service,31,4,64800,398.25
Female,Regional D,Cash,Professional,63,7,65400,397.63
Female,Major D,StoreCard,Other,57,1,46900,397.25
Female,Major A,Cash,Skilled,34,2,87500,397.22
Male,Regional D,Cash,Retired,30,1,37300,395.65
Female,Major A,DebitCard,Other,35,2,38300,395.54
Female,Major B,Check,Other,24,4,31400,395.48
Female,Major B,Cash,Owners,34,2,0,395.12
Female,Major B,Cash,Other,41,2,70200,394.56
Female,Major A,Cash,Other,21,1,5850,394.4
Male,Major B,StoreCard,Retired,33,2,33600,394.04
Female,Major B,Check,Other,58,4,87200,393.55
Male,Major A,Cash,Retired,69,2,53900,392.74
Female,Major B,Check,Other,56,1,800,392.41
Male,Major D,Cash,Skilled,66,4,19200,391.99
Male,Major A,Cash,Retired,29,1,25500,391.78
Female,Major E,StoreCard,Laborer,61,4,14050,391.59
Female,Major E,Cash,Other,55,2,0,390.26
Female,Major E,StoreCard,Owners,36,6,6300,385.73
Female,Major B,StoreCard,Owners,32,4,60000,384.77
Male,Regional A,StoreCard,Sales,45,2,20200,378.23
Male,Major E,StoreCard,Sales,49,2,1200,376.93
Male,Major A,Cash,Other,69,1,100,372.75
Male,Other,Cash,Retired,32,1,47400,372.43
Female,Regional B,Cash,Service,58,2,83000,369.93
Female,Major A,Cash,Retired,37,3,3900,365.59
Male,Regional B,Check,Skilled,48,3,0,364.42
Male,Major D,Cash,Service,73,3,20800,362.4
Female,Major B,StoreCard,Owners,23,5,15000,360.65
Male,Major B,StoreCard,Sales,37,4,89500,358.97
Male,Other,Cash,Other,42,1,65200,358.49
Female,Major E,Cash,Skilled,28,1,16500,358.04
Female,Major D,Check,Skilled,35,3,64000,357.53
Male,Regional D,Check,Sales,43,5,40800,356.63
Male,Other,Cash,Other,65,7,22100,355.78
Female,Major A,Cash,Owners,58,4,4500,355.6
Male,Major A,Cash,Other,20,2,19400,354.63
Male,Major B,StoreCard,Retired,73,2,18800,354.46
Male,Other,Cash,Laborer,23,8,40100,354.13
Male,Other,Cash,Other,32,3,3600,354.04
Female,Major A,DebitCard,Retired,73,2,90900,353.62
Female,Major D,Cash,Other,28,1,31800,351.83
Female,Major B,Check,Skilled,58,2,23900,351.6
Female,Major E,Cash,Owners,62,2,86100,351.28
Male,Major B,StoreCard,Other,58,8,0,349.4
Female,Major A,Cash,Other,60,4,42500,348.96
Male,Minor C,Check,Service,65,3,66300,347.38
Female,Regional D,Cash,Farm,60,4,58100,346.41
Male,Major E,Check,Other,62,3,9450,342.84
Female,Major A,DebitCard,Other,33,2,61000,340.02
Female,Major A,Check,Other,33,2,65100,335.35
Female,Regional D,StoreCard,Skilled,35,3,65300,334.67
Female,Major D,StoreCard,Laborer,53,4,100,332.72
Male,Major D,Check,Professional,65,3,69100,330.7
Female,Major D,StoreCard,Skilled,50,3,42700,328.77
Male,Regional D,Cash,Retired,34,4,84600,328.65
Female,Major A,Check,Other,33,2,66500,327.02
Female,Major D,Check,Other,26,1,3700,324.41
Female,Major D,StoreCard,Laborer,53,3,0,322.71
Female,Major B,StoreCard,Retired,51,2,68900,322.42
Male,Major B,StoreCard,Retired,55,2,85000,321.11
Female,Major B,Cash,Retired,79,2,5900,318.33
Female,Major B,Check,Skilled,66,2,46400,318.33
Female,Major D,StoreCard,Skilled,34,1,64500,318.23
Female,Regional B,Cash,Service,59,1,69500,317.05
Female,Major A,Cash,Retired,47,2,55800,317.01
Female,Regional C,StoreCard,Professional,37,2,63000,315.4
Female,Major A,Cash,Retired,68,3,33000,313.31
Female,Major A,Cash,Professional,34,1,63200,312.65
Female,Major B,StoreCard,Retired,45,2,90000,312.26
Female,Major A,Cash,Skilled,29,5,20900,311.52
Female,Major A,DebitCard,Laborer,32,5,72600,309.75
Male,Major B,DebitCard,Other,55,2,0,309.66
Female,Major D,StoreCard,Professional,37,3,28900,308.9
Female,Major A,Cash,Service,59,1,60300,308.24
Female,Major A,Cash,Retired,37,2,84600,308.09
Male,Major D,Cash,Other,57,5,0,307.85
Male,Major A,DebitCard,Other,27,2,5500,307.75
Male,Regional B,Check,Retired,45,2,86000,307.31
Female,Major D,StoreCard,Professional,34,3,49600,307.29
Female,Major E,DebitCard,Skilled,28,4,69600,306.48
Female,Major E,StoreCard,Skilled,41,3,2800,306.31
Female,Major E,Cash,Other,65,1,32000,306.27
Male,Regional D,Check,Other,70,2,46000,305.99
Female,Major B,Check,Other,77,1,39500,305.85
Female,Major B,Cash,Other,75,2,36500,305.59
Male,Other,Cash,Other,40,3,83800,305.4
Male,Major E,Cash,Sales,43,6,48200,305.3
Male,Regional C,Cash,Military,38,3,54000,304.38
Male,Major A,Check,Owners,22,6,56000,304.28
Female,Major D,StoreCard,Professional,37,3,33100,303.77
Female,Regional C,Cash,Other,31,4,25600,303.75
Female,Major B,Cash,Other,25,6,40600,303.11
Male,Major A,Cash,Sales,64,2,26200,303.09
Female,Major A,Cash,Skilled,27,4,46800,302.75
Female,Major A,Cash,Retired,53,3,1000,302.74
Male,Major D,Check,Retired,45,2,91300,302.46
Female,Major A,Cash,Retired,37,1,27500,302.33
Male,Regional D,StoreCard,Professional,49,3,65200,302.18
Male,Major E,StoreCard,Owners,22,1,22300,302.09
Female,Major E,Check,Other,33,3,22500,301.64
Female,Major A,Cash,Other,60,4,44300,301.37
Female,Major D,StoreCard,Owners,22,6,52400,301.13
Female,Other,Check,Retired,33,1,30200,300.99
Male,Major B,Cash,Retired,35,2,18900,300.9
Male,Major B,StoreCard,Clerical,26,1,44500,300.77
Female,Major A,Cash,Owners,23,5,14000,299.99
Female,Major E,StoreCard,Professional,35,4,82600,299.94
Female,Major D,StoreCard,Owners,41,2,68600,299.73
Female,Major D,Check,Service,55,7,63600,298.74
Female,Major A,Check,Professional,63,5,55800,298.61
Female,Major E,StoreCard,Owners,85,4,21600,297.52
Female,Regional A,Cash,Other,56,6,43500,297.49
Female,Major D,Cash,Professional,39,2,1300,297.31
Male,Major B,Cash,Other,37,3,3300,296.78
Male,Major A,Cash,Retired,25,2,20400,296.72
Female,Major E,Check,Owners,71,3,58500,296.68
Male,Other,Check,Military,31,4,34500,296.68
Female,Other,Cash,Owners,32,2,44200,295.95
Male,Major E,StoreCard,Sales,74,4,4000,295.67
Male,Major B,StoreCard,Retired,42,2,62400,295.56
Female,Other,Cash,Owners,70,2,9850,294.87
Female,Other,Cash,Other,27,1,33400,294.71
Female,Major D,DebitCard,Other,36,2,34100,294.68
Female,Major D,Check,Skilled,34,1,69300,294.66
Female,Regional B,Cash,Owners,30,4,90800,294.49
Female,Regional A,StoreCard,Other,56,1,64000,293.99
Male,Major D,Cash,Owners,59,2,24800,293.04
Male,Major D,Check,Owners,48,2,27100,292.72
Male,Major B,Check,Professional,69,1,24100,292.7
Male,Major D,Check,Sales,41,5,73000,292.67
Female,Regional D,Check,Other,35,1,33100,292.55
Female,Major A,DebitCard,Owners,38,5,87900,292
Male,Other,Cash,Owners,30,1,26200,291.94
Female,Regional C,Cash,Other,77,1,32900,291.64
Male,Other,Check,Owners,58,2,19600,291.49
Female,Regional C,StoreCard,Sales,50,3,84600,291.3
Female,Other,Check,Other,35,2,67600,291.27
Male,Regional A,Cash,Sales,35,1,44000,291.25
Male,Other,Cash,Service,66,1,13100,291.19
Female,Regional D,Cash,Retired,30,1,35900,291.09
Male,Other,Cash,Professional,59,6,86400,291.03
Female,Major B,Cash,Other,81,3,24300,290.78
Male,Major D,Check,Professional,65,5,19600,290.48
Male,Other,Cash,Other,83,2,73300,290.07
Female,Regional D,Check,Retired,47,3,50000,290.06
Female,Regional C,StoreCard,Retired,76,2,7450,289.08
Male,Regional C,Check,Owners,50,2,10350,288.71
Male,Major E,Check,Owners,44,5,15750,287.86
Female,Major B,StoreCard,Clerical,86,4,1000,287.35
Male,Other,Cash,Sales,65,4,88500,286.95
Male,Regional D,Cash,Retired,36,3,70200,286.34
Female,Major A,Check,Laborer,32,6,4250,285.27
Female,Regional D,Cash,Skilled,39,3,5000,284.19
Female,Other,Cash,Retired,62,2,23600,283.01
Female,Other,Cash,Owners,46,4,5600,282.08
Male,Major B,StoreCard,Military,48,2,32900,279.59
Female,Other,StoreCard,Military,29,2,53500,279.05
Female,Major A,Cash,Professional,43,5,7850,278.29
Female,Major E,StoreCard,Other,37,1,34000,277.95
Male,Major D,StoreCard,Retired,20,1,8750,277.53
Female,Major D,Check,Sales,74,4,15650,276.94
Female,Regional C,StoreCard,Sales,50,3,89600,276.08
Male,Major B,Check,Other,61,1,28400,275.97
Male,Other,Check,Retired,33,1,23900,274.64
Female,Major B,StoreCard,Service,48,2,4700,274.54
Male,Other,Check,Other,72,3,45300,274.32
Male,Major B,Check,Retired,25,2,27300,273.66
Female,Major E,Check,Service,48,4,3900,273.65
Female,Major B,StoreCard,Professional,40,3,86900,272.32
Male,Regional C,Cash,Retired,28,2,25900,272.11
Male,Major D,Cash,Retired,32,1,24000,271.84
Male,Major A,Check,Retired,65,3,36300,270.98
Male,Major B,StoreCard,Professional,49,3,63700,270.14
Female,Major A,Cash,Skilled,46,2,13550,268.8
Male,Other,Cash,Laborer,34,4,3800,268.79
Female,Major E,StoreCard,Other,29,1,50700,267.47
Female,Major E,StoreCard,Professional,39,5,35000,265.96
Female,Major A,Cash,Owners,59,2,36400,265.4
Female,Major A,Check,Retired,62,5,26800,264.86
Female,Major D,StoreCard,Sales,25,2,26300,263.36
Male,Major B,Check,Owners,59,2,43200,262.04
Female,Major D,Cash,Other,65,4,12750,261.63
Male,Major E,StoreCard,Owners,60,4,23700,260.5
Male,Major B,StoreCard,Professional,49,2,20100,260.14
Male,Regional C,StoreCard,Other,50,8,0,259.27
Female,Major A,Cash,Retired,71,2,11650,258.71
Male,Major D,Check,Skilled,73,6,37200,258.63
Female,Regional C,StoreCard,Other,34,3,0,257.98
Male,Major B,StoreCard,Owners,59,5,38200,257.04
Female,Regional C,StoreCard,Retired,27,1,57800,255.69
Male,Major D,Check,Laborer,73,6,28500,255.63
Male,Major A,Cash,Other,59,4,89400,255.63
Female,Regional C,Check,Owners,76,2,6650,255.16
Female,Major A,Cash,Skilled,35,2,83300,255.14
Male,Major D,StoreCard,Other,70,1,91400,254.89
Female,Major A,Cash,Other,65,5,18050,254.5
Female,Major B,StoreCard,Service,48,6,0,253.74
Female,Regional C,Check,Sales,36,6,90100,253.63
Female,Other,StoreCard,Owners,40,4,58900,253.13
Male,Regional B,Check,Retired,75,2,25000,252.43
Male,Minor B,Cash,Owners,33,2,0,252.1
Male,Major D,Cash,Retired,44,1,91800,251.26
Female,Major D,StoreCard,Owners,37,1,18450,250.8
Male,Major B,StoreCard,Retired,55,2,89300,250.21
Male,Major B,Check,Retired,25,2,12600,249.75
Female,Major B,StoreCard,Professional,25,2,19500,249.46
Female,Regional A,StoreCard,Retired,45,4,24000,248.98
Male,Major B,Cash,Professional,24,4,89200,248.97
Male,Other,Cash,Other,35,1,50900,248.23
Female,Major B,StoreCard,Skilled,67,2,49200,247.82
Female,Regional B,StoreCard,Professional,78,3,15800,246.81
Male,Major B,Check,Retired,25,2,15700,246.66
Male,Major B,Check,Professional,35,3,52800,246.53
Female,Major A,Cash,Owners,43,5,33300,246.28
Female,Major A,Cash,Skilled,32,5,18000,246.12
Female,Major A,Cash,Other,23,6,39200,245.74
Female,Major D,Check,Owners,84,3,9250,245.57
Female,Major D,Check,Owners,69,2,25900,245.3
Female,Other,Cash,Other,37,1,25600,245.21
Female,Regional C,StoreCard,Owners,46,3,43300,244.76
Female,Regional A,Cash,Other,45,2,15200,244.33
Female,Other,Check,Other,58,2,33400,244.3
Female,Major A,StoreCard,Service,52,3,0,244.14
Male,Other,StoreCard,Service,54,2,85600,243.76
Female,Major B,Cash,Other,33,2,7800,243.2
Female,Other,Check,Professional,69,2,23500,243.14
Male,Major D,Cash,Sales,49,4,37400,243.13
Female,Major B,StoreCard,Professional,78,3,17800,242.89
Female,Major A,Cash,Clerical,60,2,54600,242.54
Female,Major B,StoreCard,Other,56,1,200,242.32
Male,Major A,Cash,Other,44,1,0,242.09
Female,Major D,StoreCard,Professional,34,2,33100,241.98
Male,Major A,Cash,Sales,64,2,55600,241.88
Male,Other,DebitCard,Service,60,2,30200,241.79
Female,Other,Cash,Other,74,2,36400,241.47
Female,Major A,Cash,Retired,71,2,0,241.11
Male,Major D,StoreCard,Service,75,2,25800,240.91
Male,Major B,Check,Skilled,42,4,13250,239.81
Female,Major A,Check,Owners,79,2,20900,239.12
Female,Major D,StoreCard,Retired,29,1,38500,238.03
Female,Major B,StoreCard,Owners,59,5,17300,237.19
Female,Major B,StoreCard,Skilled,33,2,45800,237.04
Female,Major A,Cash,Skilled,41,5,88900,236.88
Female,Major E,StoreCard,Owners,22,1,13900,236.42
Female,Major B,StoreCard,Professional,25,2,12700,234.74
Female,Major B,DebitCard,Skilled,69,4,26700,234.66
Female,Major D,StoreCard,Other,25,2,12800,234.65
Female,Major A,Cash,Other,28,2,45300,234.36
Male,Major A,Check,Other,25,3,9800,233.77
Female,Major B,Check,Other,25,3,56800,233.62
Female,Other,Cash,Skilled,33,2,90200,233.45
Female,Regional B,DebitCard,Military,60,3,600,232.94
Female,Other,Cash,Service,85,8,46300,232.94
Male,Major A,Cash,Skilled,28,1,40400,232.63
Female,Major A,DebitCard,Sales,79,2,25600,231.84
Female,Major D,Cash,Professional,24,5,4800,231.76
Female,Major D,Check,Sales,63,4,86500,230.91
Female,Major B,StoreCard,Skilled,64,4,4500,230.79
Female,Major A,DebitCard,Other,52,2,36100,229.25
Female,Major B,Cash,Other,44,2,52300,229.05
Female,Major A,DebitCard,Other,41,6,61800,228.98
Male,Major B,DebitCard,Service,55,4,13650,228.85
Female,Regional C,Check,Clerical,37,1,92400,228.67
Female,Major B,StoreCard,Professional,38,1,15050,227.69
Female,Major A,Cash,Skilled,38,6,4350,227.61
Female,Regional C,StoreCard,Retired,46,3,46100,226.21
Female,Major E,StoreCard,Retired,43,2,52100,225.8
Male,Major E,Cash,Other,77,1,57300,224.51
Female,Major D,Check,Owners,69,2,20700,223.56
Female,Major D,StoreCard,Owners,69,4,32100,223.43
Male,Major E,StoreCard,Owners,34,4,8950,222.75
Male,Major B,Check,Skilled,66,2,44300,222.65
Male,Major D,StoreCard,Skilled,68,3,30200,222.64
Female,Major A,Cash,Professional,45,2,84600,222.55
Male,Major E,Check,Professional,26,1,9750,222.25
Male,Major A,Cash,Other,28,2,40700,222.17
Female,Major D,StoreCard,Professional,50,2,35800,221.71
Female,Major B,StoreCard,Other,79,2,15550,221.69
Male,Regional D,StoreCard,Retired,27,4,21600,221.57
Female,Other,Check,Professional,24,6,33800,221.4
Female,Major B,StoreCard,Owners,45,2,59000,221.36
Male,Major E,Check,Professional,37,5,29800,220.17
Female,Regional A,Cash,Other,27,3,28900,219.02
Female,Regional D,StoreCard,Skilled,42,4,0,218.72
Female,Major B,Cash,Service,85,7,83400,218.15
Male,Regional A,StoreCard,Professional,61,4,14500,218.11
Female,Regional D,Check,Owners,23,5,13100,217.81
Male,Major B,StoreCard,Sales,66,3,12500,216.41
Female,Other,Cash,Retired,41,5,58400,216.21
Female,Regional B,Cash,Other,54,1,68900,216.14
Male,Other,Cash,Service,85,8,63100,216.08
Male,Major B,DebitCard,Skilled,30,1,25300,216
Female,Major D,StoreCard,Retired,20,1,11750,215.55
Male,Major A,DebitCard,Skilled,88,3,24800,215.41
Female,Regional C,Cash,Owners,35,3,0,215.32
Female,Minor B,Check,Professional,53,4,7600,215.05
Female,Major E,Cash,Other,48,7,63500,214.62
Male,Regional C,StoreCard,Skilled,41,1,30600,214.18
Male,Regional D,Check,Skilled,42,4,14100,213.77
Male,Major D,Check,Other,65,4,31200,213.65
Female,Major B,Cash,Skilled,74,2,37800,213.28
Male,Other,Cash,Retired,71,2,90100,212.6
Male,Other,Cash,Other,42,3,7650,212.58
Female,Regional D,StoreCard,Retired,23,2,14450,212.03
Male,Regional C,StoreCard,Owners,46,4,84900,211.98
Male,Major A,Check,Service,63,2,21600,211.64
Female,Major A,DebitCard,Other,37,2,54900,211.55
Male,Major E,Cash,Retired,53,2,7900,211.49
Female,Major E,Check,Professional,26,4,30300,211.44
Female,Major B,StoreCard,Sales,81,3,15400,211.15
Male,Major B,StoreCard,Service,69,4,59900,211.12
Female,Other,StoreCard,Other,43,2,8800,210.87
Male,Regional D,Check,Sales,63,4,5350,210.57
Female,Major B,StoreCard,Other,38,2,53100,210.47
Female,Regional A,StoreCard,Service,65,5,24700,210.31
Male,Other,StoreCard,Service,92,2,0,209.92
Male,Other,Cash,Owners,61,5,50600,209.9
Male,Major A,Cash,Professional,46,2,41200,209.79
Female,Regional B,Cash,Retired,39,1,6200,209.72
Male,Major B,Cash,Owners,31,4,90200,209.7
Male,Other,StoreCard,Skilled,26,2,8550,209.67
Male,Regional D,Check,Other,35,3,88300,209.67
Male,Other,StoreCard,Farm,64,6,85100,209.65
Female,Major D,Check,Other,70,1,900,209.64
Male,Regional D,Check,Other,32,6,25100,209.48
Male,Major A,Check,Retired,30,2,7150,209.47
Female,Other,Cash,Other,47,2,87600,209.45
Male,Major B,StoreCard,Owners,59,2,13100,209.43
Female,Major A,Cash,Professional,71,3,25800,209.24
Male,Other,Cash,Skilled,40,4,33500,209.14
Female,Major B,Cash,Service,63,2,14900,208.98
Male,Major B,StoreCard,Owners,39,2,21900,208.93
Female,Major A,DebitCard,Other,28,6,69100,208.81
Female,Major A,Cash,Retired,49,5,23700,208.64
Female,Major D,Check,Sales,28,2,51800,208.57
Female,Major A,DebitCard,Sales,43,5,4800,208.53
Male,Major D,StoreCard,Owners,25,2,31000,208.5
Male,Major B,Cash,Other,69,2,70500,208.43
Female,Major A,Cash,Owners,45,5,0,208.05
Female,Regional C,Cash,Other,34,5,11450,208.02
Female,Major B,StoreCard,Owners,37,2,72800,207.93
Male,Major D,DebitCard,Skilled,81,3,43000,207.87
Male,Major E,Cash,Skilled,69,5,40100,207.72
Female,Major A,DebitCard,Other,67,6,17950,207.59
Male,Major E,DebitCard,Skilled,20,5,300,207.5
Male,Major D,Cash,Farm,67,6,69200,207.47
Female,Major A,DebitCard,Other,36,3,6400,207.46
Female,Regional D,StoreCard,Retired,43,2,31800,207.46
Female,Regional D,Check,Professional,69,3,13050,207.1
Male,Major A,DebitCard,Other,44,3,46600,206.86
Female,Major E,StoreCard,Owners,27,4,38100,206.82
Female,Regional C,StoreCard,Skilled,64,3,28800,206.81
Male,Major B,Cash,Other,48,2,52600,206.8
Male,Major A,Cash,Retired,73,2,53900,206.77
Female,Major A,Cash,Owners,31,4,55500,206.54
Female,Major A,Cash,Skilled,56,5,21800,206.44
Male,Major A,Cash,Laborer,51,2,22300,206.33
Male,Major D,Check,Owners,29,4,10850,206.3
Female,Regional C,DebitCard,Owners,31,3,42700,206.21
Male,Other,Cash,Service,66,1,22400,206.18
Female,Major A,Cash,Other,71,2,74300,206.04
